"char1","n","chapter","book","prob"
" ",362,57,1,0.194623655913978
"a",126,57,1,0.067741935483871
"b",19,57,1,0.0102150537634409
"c",65,57,1,0.0349462365591398
"d",67,57,1,0.0360215053763441
"e",166,57,1,0.089247311827957
"f",35,57,1,0.0188172043010753
"g",31,57,1,0.0166666666666667
"h",64,57,1,0.0344086021505376
"i",119,57,1,0.0639784946236559
"j",3,57,1,0.00161290322580645
"k",16,57,1,0.00860215053763441
"l",59,57,1,0.0317204301075269
"m",28,57,1,0.0150537634408602
"n",132,57,1,0.0709677419354839
"o",114,57,1,0.0612903225806452
"p",33,57,1,0.017741935483871
"q",4,57,1,0.0021505376344086
"r",93,57,1,0.05
"s",76,57,1,0.0408602150537634
"t",142,57,1,0.0763440860215054
"u",37,57,1,0.0198924731182796
"v",19,57,1,0.0102150537634409
"w",24,57,1,0.0129032258064516
"x",2,57,1,0.0010752688172043
"y",24,57,1,0.0129032258064516
" ",106,58,1,0.193078324225865
"a",41,58,1,0.0746812386156648
"b",5,58,1,0.00910746812386157
"c",18,58,1,0.0327868852459016
"d",12,58,1,0.0218579234972678
"e",50,58,1,0.0910746812386157
"f",12,58,1,0.0218579234972678
"g",9,58,1,0.0163934426229508
"h",22,58,1,0.0400728597449909
"i",33,58,1,0.0601092896174863
"k",4,58,1,0.00728597449908925
"l",18,58,1,0.0327868852459016
"m",11,58,1,0.0200364298724954
"n",38,58,1,0.0692167577413479
"o",29,58,1,0.0528233151183971
"p",12,58,1,0.0218579234972678
"q",1,58,1,0.00182149362477231
"r",20,58,1,0.0364298724954463
"s",34,58,1,0.0619307832422587
"t",40,58,1,0.0728597449908925
"u",9,58,1,0.0163934426229508
"v",4,58,1,0.00728597449908925
"w",16,58,1,0.029143897996357
"x",1,58,1,0.00182149362477231
"y",4,58,1,0.00728597449908925
" ",168,59,1,0.191562143671608
"a",63,59,1,0.0718358038768529
"b",9,59,1,0.0102622576966933
"c",27,59,1,0.0307867730900798
"d",25,59,1,0.0285062713797035
"e",78,59,1,0.088939566704675
"f",10,59,1,0.0114025085518814
"g",16,59,1,0.0182440136830103
"h",41,59,1,0.0467502850627138
"i",55,59,1,0.0627137970353478
"j",4,59,1,0.00456100342075257
"k",10,59,1,0.0114025085518814
"l",34,59,1,0.0387685290763968
"m",29,59,1,0.0330672748004561
"n",42,59,1,0.0478905359179019
"o",41,59,1,0.0467502850627138
"p",17,59,1,0.0193842645381984
"q",1,59,1,0.00114025085518814
"r",50,59,1,0.0570125427594071
"s",41,59,1,0.0467502850627138
"t",58,59,1,0.0661345496009122
"u",19,59,1,0.0216647662485747
"v",6,59,1,0.00684150513112885
"w",26,59,1,0.0296465222348917
"y",7,59,1,0.00798175598631699
" ",792,60,1,0.185610499179752
"a",258,60,1,0.0604640262479494
"b",56,60,1,0.0131239746894774
"c",146,60,1,0.0342160768689946
"d",126,60,1,0.0295289430513241
"e",409,60,1,0.0958518865713616
"f",84,60,1,0.0196859620342161
"g",71,60,1,0.0166393250527303
"h",157,60,1,0.0367940004687134
"i",277,60,1,0.0649168033747363
"j",3,60,1,0.000703070072650574
"k",48,60,1,0.0112491211624092
"l",162,60,1,0.037965783923131
"m",101,60,1,0.023670025779236
"n",255,60,1,0.0597609561752988
"o",238,60,1,0.0557768924302789
"p",68,60,1,0.0159362549800797
"q",5,60,1,0.00117178345441762
"r",223,60,1,0.052261542067026
"s",215,60,1,0.0503866885399578
"t",289,60,1,0.0677290836653386
"u",85,60,1,0.0199203187250996
"v",36,60,1,0.00843684087180689
"w",97,60,1,0.0227325990157019
"x",11,60,1,0.00257792359971877
"y",55,60,1,0.0128896179985939
" ",2063,61,1,0.1911246989068
"a",679,61,1,0.062905317769131
"b",142,61,1,0.0131554567352233
"c",352,61,1,0.0326107096535112
"d",372,61,1,0.0344635908838243
"e",1102,61,1,0.102093755790254
"f",212,61,1,0.0196405410413193
"g",146,61,1,0.0135260329812859
"h",562,61,1,0.0520659625717992
"i",656,61,1,0.0607745043542709
"j",12,61,1,0.00111172873818788
"k",93,61,1,0.00861589772095609
"l",293,61,1,0.0271447100240875
"m",212,61,1,0.0196405410413193
"n",597,61,1,0.0553085047248471
"o",617,61,1,0.0571613859551603
"p",187,61,1,0.0173244395034278
"q",21,61,1,0.00194552529182879
"r",508,61,1,0.0470631832499537
"s",554,61,1,0.0513248100796739
