"char1","char2","n","chapter","book","prob"
" "," ",19,35,1,0.0396659707724426
" ","a",48,35,1,0.100208768267223
" ","b",26,35,1,0.0542797494780793
" ","c",23,35,1,0.0480167014613779
" ","d",13,35,1,0.0271398747390397
" ","e",10,35,1,0.0208768267223382
" ","f",18,35,1,0.0375782881002088
" ","g",8,35,1,0.0167014613778706
" ","h",22,35,1,0.0459290187891441
" ","i",19,35,1,0.0396659707724426
" ","j",6,35,1,0.0125260960334029
" ","k",3,35,1,0.00626304801670146
" ","l",8,35,1,0.0167014613778706
" ","m",21,35,1,0.0438413361169102
" ","n",8,35,1,0.0167014613778706
" ","o",34,35,1,0.0709812108559499
" ","p",28,35,1,0.058455114822547
" ","q",2,35,1,0.00417536534446764
" ","r",14,35,1,0.0292275574112735
" ","s",47,35,1,0.0981210855949896
" ","t",76,35,1,0.15866388308977
" ","u",4,35,1,0.00835073068893528
" ","v",3,35,1,0.00626304801670146
" ","w",17,35,1,0.0354906054279749
" ","y",2,35,1,0.00417536534446764
"<U+FFFD>","<U+FFFD>",6,35,1,0.75
"<U+FFFD>","t",2,35,1,0.25
"a"," ",15,35,1,0.0742574257425743
"a","b",1,35,1,0.00495049504950495
"a","c",8,35,1,0.0396039603960396
"a","d",4,35,1,0.0198019801980198
"a","f",3,35,1,0.0148514851485149
"a","g",3,35,1,0.0148514851485149
"a","i",11,35,1,0.0544554455445545
"a","k",3,35,1,0.0148514851485149
"a","l",14,35,1,0.0693069306930693
"a","m",8,35,1,0.0396039603960396
"a","n",21,35,1,0.103960396039604
"a","p",3,35,1,0.0148514851485149
"a","r",19,35,1,0.0940594059405941
"a","s",16,35,1,0.0792079207920792
"a","t",42,35,1,0.207920792079208
"a","u",10,35,1,0.0495049504950495
"a","v",8,35,1,0.0396039603960396
"a","w",5,35,1,0.0247524752475248
"a","y",8,35,1,0.0396039603960396
"b","a",4,35,1,0.102564102564103
"b","e",11,35,1,0.282051282051282
"b","i",5,35,1,0.128205128205128
"b","l",2,35,1,0.0512820512820513
"b","o",9,35,1,0.230769230769231
"b","u",6,35,1,0.153846153846154
"b","y",2,35,1,0.0512820512820513
"c","a",11,35,1,0.122222222222222
"c","c",2,35,1,0.0222222222222222
"c","d",1,35,1,0.0111111111111111
"c","e",13,35,1,0.144444444444444
"c","h",22,35,1,0.244444444444444
"c","i",3,35,1,0.0333333333333333
"c","k",12,35,1,0.133333333333333
"c","l",2,35,1,0.0222222222222222
"c","o",16,35,1,0.177777777777778
"c","s",1,35,1,0.0111111111111111
"c","t",6,35,1,0.0666666666666667
